,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(6, 1, 22, 3, 0, 1)","(6, 1, 73, 3, 1, 1)","(6, 2, 17, 3, 1, 0)","(9, 2, 13, 3, 1, 0)","(9, 4, 18, 3, 0, 0)","(9, 4, 53, 3, 0, 1)","(9, 4, 53, 3, 0, 1)","(9, 5, 34, 3, 0, 0)","(8, 6, 44, 3, 0, 0)","(9, 7, 85, 3, 0, 1)","(9, 8, 44, 3, 0, 0)","(9, 8, 85, 3, 0, 1)","(9, 10, 48, 3, 0, 1)",,
1,3,2,0,1,2,4,2,1,1,0,0,1,2,,
2,12.969399431666332,5.883592867382349,-2.4688627316153804,6.813512787646998,12.847125771610646,5.0,0.6051543833210582,37.70167526137833,2.9342662067387906,8.180313184581369,6.082445699011991,23.091320399776293,11.124087972473438,,
0,"(7, 0, 45, 3, 0, 1)","(9, 1, 53, 3, 0, 0)","(9, 2, 86, 3, 0, 1)","(9, 3, 85, 3, 0, 0)","(9, 3, 44, 3, 0, 0)","(9, 4, 85, 3, 1, 1)","(9, 5, 41, 3, 0, 0)","(9, 6, 49, 3, 0, 1)","(8, 7, 30, 2, 0, 0)","(9, 8, 21, 2, 0, 0)","(9, 8, 17, 3, 0, 0)","(8, 9, 23, 3, 0, 1)","(7, 10, 41, 3, 0, 2)","(7, 10, 77, 3, 1, 0)","(6, 11, 44, 3, 0, 0)"
1,2,4,0,0,0,2,2,4,1,2,2,1,0,4,0
2,-0.5725174086808487,30.45412783846369,-2.4626488259826154,7.682065443883003,7.599139835146179,11.086860181216645,9.138405084309593,38.4407475534023,1.6488130494020137,4.454420421232919,16.77148725152802,6.108355417913963,11.9160933048786,19.645066257979497,2.0025440853932235
0,"(6, 0, 85, 3, 0, 1)","(6, 0, 73, 3, 1, 1)","(6, 1, 40, 3, 1, 1)","(9, 2, 41, 3, 0, 0)","(9, 2, 77, 3, 0, 0)","(4, 4, 40, 3, 0, 0)","(4, 5, 39, 3, 1, 0)","(9, 6, 42, 3, 0, 0)","(9, 6, 39, 3, 1, 0)","(9, 7, 49, 3, 1, 0)","(4, 8, 41, 3, 0, 1)","(4, 9, 41, 3, 0, 1)","(3, 9, 15, 3, 0, 1)","(3, 10, 26, 3, 0, 1)","(2, 11, 43, 3, 0, 1)"
1,3,2,2,0,3,3,1,0,1,3,0,3,0,3,3
2,18.448564276108485,13.761105901670758,-1.5491225060191167,7.159014630949989,4.771924376419417,11.737344490562728,2.5819153473737853,3.274577331604292,11.020268994332696,11.970802107034292,9.759938385944253,14.891618906951283,23.256142332225064,24.859747144047823,5.0
0,"(6, 0, 17, 3, 0, 1)","(6, 1, 53, 3, 0, 1)","(6, 1, 34, 3, 0, 1)","(5, 2, 76, 2, 0, 0)","(9, 5, 71, 3, 0, 0)","(9, 5, 72, 3, 0, 0)","(9, 7, 40, 3, 1, 0)","(9, 8, 71, 3, 0, 1)","(9, 8, 75, 3, 0, 1)",,,,,,
1,3,3,3,1,4,0,0,0,2,,,,,,
2,13.440312593142874,15.526831086065666,29.04092141014192,5.6092376054078485,9.010925141084588,8.158668309857696,11.243856353139972,12.979112521277372,37.31998265121964,,,,,,
0,"(7, 1, 76, 3, 0, 0)","(6, 2, 58, 3, 1, 0)","(9, 3, 43, 3, 0, 0)","(9, 4, 77, 3, 1, 1)","(8, 5, 49, 3, 0, 0)","(9, 6, 50, 1, 0, 0)",,,,,,,,,
1,3,2,0,0,1,3,,,,,,,,,
2,38.031911334523855,4.708479125776403,20.576117625875348,17.29714097254774,1.2337997412472061,17.712864253111633,,,,,,,,,
0,"(7, 1, 11, 3, 0, 0)","(3, 3, 45, 3, 0, 1)","(9, 5, 45, 3, 0, 0)","(4, 5, 59, 3, 0, 0)","(9, 7, 76, 2, 0, 1)","(8, 7, 88, 3, 0, 0)","(8, 8, 85, 3, 1, 1)","(7, 9, 85, 3, 0, 1)","(9, 10, 75, 3, 1, 0)",,,,,,
1,2,2,2,1,4,4,2,1,2,,,,,,
2,46.67903363336166,-10.067107294295566,13.426934363939107,23.5935120441935,17.604654289125612,20.30525211535018,13.964500307165327,5.1816671145118205,12.548643628080258,,,,,,
